cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,patrol_boro,station_name,vic_age_group,vic_race,vic_sex,complaint_date,year,month,day,quarter,is_felony
318096414,2025-12-28,10:00:00,2025-12-28T00:00:00.000,22:00:00,68,2025-12-29T00:00:00.000,341,PETIT LARCENY,352.0,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),978015,171958,UNKNOWN,UNKNOWN,U,,40.638668,-74.022464,"(40.638668, -74.022464)",PATROL BORO BKLYN SOUTH,(null),25-44,WHITE,M,2025-12-28,2025,12,28,4,0
318113386,2025-12-29,15:49:00,2025-12-29T00:00:00.000,15:59:00,115,2025-12-29T00:00:00.000,355,OFFENSES AGAINST THE PERSON,115.0,RECKLESS ENDANGERMENT 2,COMPLETED,MISDEMEANOR,QUEENS,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),1014333,211391,<18,WHITE HISPANIC,M,20.0,40.74684483,-73.89143078,"(40.74684483, -73.89143078)",PATROL BORO QUEENS NORTH,74 ST.-BROADWAY,UNKNOWN,UNKNOWN,E,2025-12-29,2025,12,29,4,0
318108008,2025-12-14,12:21:00,2025-12-14T00:00:00.000,12:34:00,110,2025-12-29T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,(null),(null),(null),1016435,211486,UNKNOWN,WHITE HISPANIC,F,,40.747108,-73.883842,"(40.747108, -73.883842)",PATROL BORO QUEENS NORTH,(null),UNKNOWN,UNKNOWN,D,2025-12-14,2025,12,14,4,0
318115200,2025-09-29,08:00:00,2025-10-01T00:00:00.000,12:00:00,114,2025-12-29T00:00:00.000,112,THEFT-FRAUD,739.0,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1009504,215898,UNKNOWN,UNKNOWN,U,,40.759241,-73.908841,"(40.759241, -73.908841)",PATROL BORO QUEENS NORTH,(null),18-24,ASIAN / PACIFIC ISLANDER,F,2025-09-29,2025,9,29,3,1
318096149,2025-12-29,09:45:00,2025-12-29T00:00:00.000,10:00:00,25,2025-12-29T00:00:00.000,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,0,(null),(null),(null),1000558,231080,45-64,BLACK,M,,40.8009303727402,-73.9410982410066,"(40.8009303727402, -73.9410982410066)",PATROL BORO MAN NORTH,(null),25-44,BLACK,F,2025-12-29,2025,12,29,4,0
318115152,2025-12-28,09:00:00,2025-12-28T00:00:00.000,09:30:00,24,2025-12-29T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),993162,229850,25-44,BLACK,M,,40.797567,-73.96781,"(40.797567, -73.96781)",PATROL BORO MAN NORTH,(null),25-44,ASIAN / PACIFIC ISLANDER,F,2025-12-28,2025,12,28,4,0
318191362,2025-12-22,15:30:00,2025-12-29T00:00:00.000,08:16:00,45,2025-12-29T00:00:00.000,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1029812,244768,UNKNOWN,UNKNOWN,U,,40.838398,-73.835339,"(40.838398, -73.835339)",PATROL BORO BRONX,(null),25-44,UNKNOWN,F,2025-12-22,2025,12,22,4,0
318118762,2025-12-29,12:45:00,2025-12-29T00:00:00.000,12:55:00,112,2025-12-29T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),(null),1024940,204092,UNKNOWN,BLACK,M,,40.726778,-73.853195,"(40.726778, -73.853195)",PATROL BORO QUEENS NORTH,(null),UNKNOWN,UNKNOWN,D,2025-12-29,2025,12,29,4,0
318113332,2025-12-29,18:50:00,2025-12-29T00:00:00.000,19:07:00,44,2025-12-29T00:00:00.000,105,ROBBERY,387.0,"ROBBERY,CLOTHING",COMPLETED,FELONY,BRONX,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),1008110,244858,UNKNOWN,UNKNOWN,M,11.0,40.83872163,-73.91377061,"(40.83872163, -73.91377061)",PATROL BORO BRONX,170 STREET,18-24,WHITE HISPANIC,M,2025-12-29,2025,12,29,4,1
318096358,2025-12-28,21:00:00,2025-12-28T00:00:00.000,21:05:00,61,2025-12-29T00:00:00.000,110,GRAND LARCENY OF MOTOR VEHICLE,450.0,"LARCENY, GRAND OF MOPED",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),995661,160440,(null),(null),(null),,40.607049,-73.958905,"(40.607049, -73.958905)",PATROL BORO BKLYN SOUTH,(null),25-44,BLACK,M,2025-12-28,2025,12,28,4,1
318096548,2025-12-29,04:55:00,2025-12-29T00:00:00.000,05:21:00,107,2025-12-29T00:00:00.000,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,QUEENS,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1037768,204169,45-64,BLACK HISPANIC,M,,40.72691149,-73.8069118,"(40.72691149, -73.8069118)",PATROL BORO QUEENS SOUTH,(null),UNKNOWN,UNKNOWN,E,2025-12-29,2025,12,29,4,0
