boro_nm,addr_pct_cd,latitude,longitude
QUEENS,113,40.67813319,-73.76373558
QUEENS,115,40.758088,-73.857354
MANHATTAN,24,40.79253,-73.967774
BRONX,40,40.811824,-73.9038
BROOKLYN,83,40.69880633,-73.9183658
MANHATTAN,14,40.754614,-73.985619
QUEENS,108,40.742812,-73.924463
BRONX,52,40.867461,-73.886577
QUEENS,103,40.70550353,-73.78884984
BROOKLYN,73,40.672138,-73.911218
BROOKLYN,76,40.678746,-73.993123
BRONX,49,40.858766,-73.864652
BROOKLYN,70,40.655245,-73.95978
QUEENS,114,40.76768,-73.89136
QUEENS,113,40.706141,-73.762626
QUEENS,107,40.722922,-73.779109
BRONX,47,40.893985,-73.855046
BRONX,44,40.834784,-73.916019
MANHATTAN,17,40.754385,-73.96734
BRONX,47,40.896106,-73.857785
QUEENS,103,40.703879,-73.79885
BROOKLYN,69,40.634818,-73.884453
QUEENS,106,40.68623422,-73.82417476
BROOKLYN,68,40.6096712,-74.03508291
BRONX,52,40.861857,-73.912647
BRONX,40,40.81108068,-73.92729539
QUEENS,116,40.660683,-73.768017
MANHATTAN,7,40.710498,-73.986419
MANHATTAN,32,40.81591307653,-73.9451493066481
QUEENS,112,40.711151,-73.85518
BRONX,50,40.875368,-73.911863
BROOKLYN,94,40.715886,-73.959826
BRONX,46,40.853586,-73.900592
QUEENS,109,40.779909,-73.791193
BRONX,49,40.855575,-73.864778
STATEN ISLAND,120,40.619067,-74.090447
MANHATTAN,26,40.818161,-73.958356
MANHATTAN,34,40.858951,-73.93255
BRONX,52,40.873953,-73.908789
BRONX,40,40.818379,-73.929484
BRONX,45,40.863808,-73.825117
MANHATTAN,1,40.71675,-74.014661
BROOKLYN,94,40.716641,-73.939231
BROOKLYN,68,40.622153,-74.027284
MANHATTAN,25,40.795538,-73.934285
QUEENS,105,40.70251906,-73.74502466
BRONX,46,40.857422,-73.902347
QUEENS,101,40.606132,-73.752727
MANHATTAN,32,40.81698,-73.938766
BRONX,44,40.828334,-73.911916
BRONX,46,40.859384,-73.897105
QUEENS,107,40.725185,-73.760472
QUEENS,106,40.682398279333,-73.8400721577516
BRONX,40,40.817356,-73.909331
MANHATTAN,5,40.71664598,-73.99580825
MANHATTAN,32,40.824791,-73.938639
BRONX,52,40.865338,-73.90567
QUEENS,109,40.777582,-73.839841
QUEENS,108,40.751376,-73.944943
QUEENS,107,40.726904,-73.811993
BRONX,41,40.8162058439227,-73.8960011932583
BROOKLYN,77,40.676052,-73.934612
BROOKLYN,62,40.611827,-73.999527
BROOKLYN,63,40.624701,-73.927493
MANHATTAN,18,40.756978,-73.978342
BRONX,48,40.839859,-73.874606
BRONX,42,40.835941,-73.886465
BRONX,44,40.838071,-73.918201
MANHATTAN,14,40.75723226,-73.98979219
STATEN ISLAND,123,40.54242,-74.165072
BRONX,49,40.858746,-73.865615
BRONX,40,40.807192,-73.918357
BROOKLYN,69,40.644894,-73.913119
MANHATTAN,33,40.84105164,-73.94467898
BROOKLYN,67,40.641991,-73.93178
BRONX,50,40.88924,-73.915532
BROOKLYN,67,40.637804,-73.942377
MANHATTAN,14,40.75784,-73.991213
BROOKLYN,70,40.631293,-73.945566
BRONX,47,40.89341145,-73.85736207
BROOKLYN,61,40.607282,-73.958004
QUEENS,110,40.748279,-73.877881
MANHATTAN,13,40.739773,-73.992985
BROOKLYN,68,40.636632,-74.024192
BRONX,40,40.80957585,-73.91804932
MANHATTAN,14,40.75152348,-73.9939473
BRONX,42,40.824536,-73.901755
QUEENS,111,40.75829547,-73.77116861
STATEN ISLAND,122,40.563437,-74.110816
MANHATTAN,33,40.837576,-73.945469
BROOKLYN,67,40.655134,-73.934162
QUEENS,108,40.744691,-73.956925
QUEENS,115,40.757509,-73.877193
MANHATTAN,24,40.79639,-73.964959
MANHATTAN,13,40.73135114,-73.9825546
MANHATTAN,9,40.72869,-73.986055
BROOKLYN,90,40.71329,-73.964789
BRONX,47,40.873221,-73.866698
MANHATTAN,6,40.731541,-73.99588
QUEENS,110,40.74249515,-73.87335801
MANHATTAN,25,40.808003,-73.940056
BROOKLYN,67,40.6488507469884,-73.951016510623
MANHATTAN,14,40.75656807,-73.99027596
BRONX,47,40.888949,-73.849686
QUEENS,105,40.7285852,-73.74458938
QUEENS,109,40.761318,-73.823249
QUEENS,106,40.665718,-73.854616
MANHATTAN,14,40.748507,-73.990587
BROOKLYN,63,40.630922,-73.937844
BRONX,41,40.824119,-73.890504
STATEN ISLAND,121,40.58856,-74.16079
QUEENS,113,40.672712,-73.773677
QUEENS,104,40.703042,-73.90746
BRONX,40,40.806419,-73.926464
MANHATTAN,6,40.731643,-74.006245
BRONX,47,40.900646,-73.851449
MANHATTAN,19,40.780235,-73.945476
MANHATTAN,33,40.842254,-73.940675
MANHATTAN,25,40.810524,-73.938214
BROOKLYN,63,40.610338,-73.936957
BRONX,47,40.882847,-73.848057
MANHATTAN,10,40.748139,-73.996423
BROOKLYN,73,40.664869,-73.904191
QUEENS,110,40.748008,-73.867723
BROOKLYN,75,40.684921,-73.871998
BRONX,41,40.820824,-73.899398
BRONX,40,40.809844,-73.927976
QUEENS,106,40.67433,-73.838374
QUEENS,116,40.65573,-73.730758
BRONX,48,40.843486,-73.883713
QUEENS,115,40.751155,-73.857301
MANHATTAN,32,40.82095,-73.941445
MANHATTAN,14,40.75144155,-73.9760491
QUEENS,102,40.68814942,-73.8488335
QUEENS,109,40.7619,-73.826039
BRONX,45,40.845165,-73.788916
BRONX,48,40.84443,-73.882907
BRONX,41,40.821017,-73.901071
BROOKLYN,62,40.605746,-74.003047
BROOKLYN,79,40.686115,-73.958062
QUEENS,114,40.756274,-73.945014
MANHATTAN,23,40.796342,-73.941199
BROOKLYN,79,40.685843,-73.950664
BROOKLYN,79,40.6811367,-73.9556676
STATEN ISLAND,121,40.630214,-74.151449
QUEENS,102,40.69826939,-73.83484311
QUEENS,114,40.760956,-73.93224
STATEN ISLAND,120,40.62436607,-74.08032194
BROOKLYN,83,40.689586,-73.90617
BROOKLYN,90,40.710646,-73.923062
BROOKLYN,66,40.62844538,-73.99633617
BROOKLYN,68,40.617619,-74.033452
BRONX,42,40.824267,-73.909296
QUEENS,112,40.725991,-73.853129
BRONX,46,40.8535983673823,-73.9005768807295
BRONX,48,40.839312,-73.875095
BRONX,44,40.837932,-73.915847
BRONX,47,40.882915,-73.864801
BROOKLYN,77,40.674852,-73.926993
BRONX,42,40.836559,-73.902441
MANHATTAN,18,40.759484,-73.976518
BRONX,44,40.83872163,-73.91377061
BRONX,47,40.883604,-73.827159
MANHATTAN,114,40.769762,-73.941045
BRONX,48,40.85071333,-73.89407343
BRONX,50,40.88525,-73.907727
BRONX,44,40.825314,-73.922008
BRONX,52,40.875497,-73.88149
BROOKLYN,73,40.658583,-73.914215
BRONX,48,40.851408,-73.885085
BRONX,45,40.837162,-73.846245
QUEENS,115,40.77204822,-73.87622259
BROOKLYN,60,40.57741077,-73.96236374
BRONX,46,40.85131846,-73.90841181
QUEENS,110,40.742561,-73.852191
QUEENS,101,40.598491,-73.743892
QUEENS,105,40.714053,-73.742812
BROOKLYN,60,40.5766459780433,-73.9764803960699
QUEENS,106,40.661694,-73.840498
MANHATTAN,34,40.861639,-73.927966
MANHATTAN,19,40.7669956423899,-73.9639223035387
BROOKLYN,73,40.653393,-73.908495
BRONX,44,40.835572,-73.909679
QUEENS,114,40.775444,-73.933004
BRONX,48,40.848177,-73.894367
BRONX,48,40.852129,-73.885965
QUEENS,110,40.737037,-73.86449
QUEENS,101,40.6027762300781,-73.7501173648331
BROOKLYN,77,40.671774,-73.928057
BROOKLYN,84,40.701324,-73.98185
QUEENS,109,40.759332,-73.818963
BROOKLYN,68,40.624673,-74.020786
QUEENS,114,40.773507,-73.929435
MANHATTAN,26,40.817104,-73.960788
MANHATTAN,13,40.741506,-73.979738
BRONX,48,40.855019,-73.883075
BRONX,40,40.81895439,-73.91403106
QUEENS,101,40.598412,-73.755252
QUEENS,111,40.752177,-73.750629
MANHATTAN,7,40.718111,-73.979705
BROOKLYN,83,40.695764,-73.912986
BROOKLYN,83,40.697341,-73.927147
BROOKLYN,71,40.662494,-73.935906
BROOKLYN,78,40.682632,-73.977891
BROOKLYN,71,40.656281,-73.936203
BROOKLYN,81,40.696846,-73.936508
BROOKLYN,81,40.68642745,-73.93573528
BROOKLYN,84,40.690435,-73.98477
MANHATTAN,18,40.76022,-73.9802
BROOKLYN,60,40.576715,-73.96129
BROOKLYN,66,40.63041,-73.995788
BROOKLYN,70,40.653675,-73.962788
QUEENS,103,40.70837971,-73.79167576
QUEENS,112,40.723637,-73.848722
MANHATTAN,5,40.72205,-73.998508
MANHATTAN,17,40.743524,-73.972871
BROOKLYN,67,40.644687,-73.950833
BROOKLYN,76,40.675776,-74.016959
QUEENS,113,40.689218,-73.79145
QUEENS,104,40.701306,-73.888609
BROOKLYN,76,40.68965952,-74.00046876
BROOKLYN,71,40.655673,-73.953008
BRONX,47,40.87695365,-73.83815635
BROOKLYN,70,40.621399,-73.962569
STATEN ISLAND,120,40.62854353,-74.07646859
MANHATTAN,13,40.740579,-73.990295
BROOKLYN,77,40.677163,-73.95744
BRONX,42,40.83221671,-73.90343324
BRONX,40,40.80049,-73.912526
MANHATTAN,18,40.756326,-73.977764
BROOKLYN,81,40.693592,-73.938658
QUEENS,103,40.69872,-73.806713
QUEENS,112,40.72399,-73.855659
QUEENS,104,40.707394,-73.899113
QUEENS,101,40.595214,-73.782726
BROOKLYN,70,40.632241,-73.947623
BROOKLYN,60,40.575285,-73.996969
BROOKLYN,84,40.690867,-73.985849
QUEENS,100,40.58788,-73.808576
QUEENS,112,40.721111,-73.850989
QUEENS,109,40.75631941,-73.83367769
BROOKLYN,66,40.640097,-73.970042
QUEENS,110,40.74681219,-73.89175204
BROOKLYN,81,40.682317,-73.922609
BRONX,45,40.8307223277672,-73.8271260588639
QUEENS,113,40.679803,-73.776797
BROOKLYN,63,40.630005,-73.944675
QUEENS,101,40.593592,-73.776737
BROOKLYN,68,40.622892,-74.023868
STATEN ISLAND,120,40.644004,-74.076504
BRONX,43,40.832765,-73.85589
MANHATTAN,13,40.744353,-73.986498
QUEENS,116,40.67581378,-73.73954597
MANHATTAN,24,40.793463,-73.96895
BROOKLYN,71,40.66818,-73.961903
BRONX,44,40.834493,-73.926574
MANHATTAN,23,40.788459,-73.939373
MANHATTAN,23,40.788822,-73.942209
BRONX,42,40.830612,-73.907281
STATEN ISLAND,120,40.616417,-74.079356
MANHATTAN,23,40.792592,-73.946033
BRONX,42,40.828274,-73.911002
BROOKLYN,67,40.65163,-73.951117
QUEENS,113,40.691768,-73.763133
BROOKLYN,73,40.6768335,-73.909039
BROOKLYN,88,40.689571,-73.971641
BROOKLYN,62,40.59997625,-74.00664393
MANHATTAN,20,40.782814,-73.978576
QUEENS,110,40.74753561,-73.88485401
QUEENS,113,40.66524878,-73.78894843
QUEENS,110,40.746939,-73.856811
MANHATTAN,7,40.716083,-73.98713
MANHATTAN,32,40.813352,-73.946996
QUEENS,110,40.75226,-73.853581
BROOKLYN,77,40.674601,-73.938613
QUEENS,103,40.705305,-73.80948
BROOKLYN,63,40.613593,-73.926847
QUEENS,108,40.746065,-73.920966
BRONX,48,40.848743,-73.891984
BROOKLYN,69,40.641998,-73.892338
BRONX,50,40.910818,-73.896621
MANHATTAN,34,40.864137,-73.91918
BRONX,48,40.85441,-73.882331
BRONX,42,40.82822462,-73.9086062
BROOKLYN,60,40.577208,-73.99029
BROOKLYN,72,40.645237,-74.012033
MANHATTAN,34,40.85668,-73.930974
QUEENS,116,40.664167,-73.751682
BRONX,45,40.812631,-73.824687
BRONX,42,40.824987,-73.908028
QUEENS,105,40.71220326,-73.73437905
BROOKLYN,88,40.694189,-73.981348
BRONX,46,40.860716,-73.899249
BROOKLYN,83,40.70110374,-73.92238425
BRONX,40,40.814191,-73.923568
BRONX,45,40.818444,-73.82108
BROOKLYN,62,40.594978,-74.001063
BRONX,43,40.832649,-73.877258
BROOKLYN,75,40.660083,-73.875596
BRONX,40,40.812324,-73.908421
MANHATTAN,19,40.77785,-73.955747
BRONX,52,40.876453,-73.886934
BROOKLYN,90,40.703413,-73.964744
BROOKLYN,62,40.621162,-73.988137
MANHATTAN,13,40.739572,-73.995234
MANHATTAN,32,40.815935,-73.935316
MANHATTAN,23,40.786754,-73.94216
BROOKLYN,63,40.6281697437036,-73.9413587834752
BROOKLYN,75,40.675984,-73.890221
QUEENS,101,40.602282,-73.751152
QUEENS,107,40.712832,-73.783094
BRONX,43,40.81923,-73.846499
BROOKLYN,60,40.577583,-73.955511
BROOKLYN,73,40.666495,-73.92162
QUEENS,115,40.76325924,-73.86850655
BROOKLYN,81,40.680222,-73.91806
BROOKLYN,61,40.607421,-73.941359
QUEENS,104,40.722812,-73.904569
QUEENS,114,40.75253099,-73.94383574
BROOKLYN,71,40.66768127,-73.96180815
BROOKLYN,71,40.65811959,-73.9339965
BRONX,47,40.877335,-73.858031
QUEENS,106,40.6678948,-73.84203044
BROOKLYN,72,40.640704,-74.011321
BRONX,50,40.879074,-73.90157
BRONX,40,40.8201866,-73.92148663
QUEENS,103,40.698849,-73.805288
MANHATTAN,18,40.768702,-73.992579
QUEENS,108,40.743654,-73.922876
BRONX,52,40.86413235,-73.89131161
BROOKLYN,75,40.663307,-73.898487
BROOKLYN,67,40.65427108,-73.91658947
QUEENS,116,40.67646,-73.739206
BROOKLYN,73,40.655924,-73.904337
BRONX,48,40.857069,-73.883261
MANHATTAN,6,40.738455,-74.006467
MANHATTAN,18,40.764256,-73.973872
QUEENS,103,40.694593,-73.793474
MANHATTAN,18,40.76365785,-73.97346363
BROOKLYN,77,40.670667,-73.932339
QUEENS,103,40.70093904,-73.80604572
BRONX,48,40.855236,-73.88114
BROOKLYN,73,40.674559,-73.907295
MANHATTAN,13,40.740359,-73.992554
BRONX,41,40.820146,-73.892279
BROOKLYN,84,40.70152714,-73.98674959
QUEENS,106,40.67605,-73.818666
BROOKLYN,68,40.629148,-74.003618
BROOKLYN,66,40.637901,-73.993846
MANHATTAN,26,40.81777,-73.955494
BROOKLYN,72,40.636748,-74.010055
BRONX,40,40.816171,-73.930316
QUEENS,114,40.7694951184418,-73.9150241703895
BRONX,47,40.893219,-73.859177
STATEN ISLAND,123,40.538872,-74.204683
QUEENS,102,40.690459,-73.829108
BRONX,40,40.818035,-73.916027
QUEENS,104,40.700834,-73.881491
QUEENS,110,40.74234862,-73.8699408
BRONX,49,40.865468,-73.865873
QUEENS,113,40.694659,-73.779099
MANHATTAN,18,40.762841,-73.991284
BROOKLYN,70,40.640854,-73.958207
BROOKLYN,75,40.671634,-73.87443
QUEENS,103,40.70329332,-73.79609176
QUEENS,106,40.683642,-73.840209
BRONX,46,40.851555,-73.922934
BROOKLYN,72,40.645267,-74.022718
BRONX,45,40.86203222,-73.80213781
BROOKLYN,67,40.652574,-73.951217
QUEENS,112,40.720771,-73.846431
BRONX,44,40.833088,-73.916306
STATEN ISLAND,120,40.632174,-74.121063
BRONX,46,40.850289,-73.899418
MANHATTAN,33,40.839531,-73.940889
BROOKLYN,71,40.656923,-73.939647
MANHATTAN,7,40.711953,-73.989854
BROOKLYN,90,40.701736,-73.937674
BROOKLYN,73,40.65509,-73.909933
MANHATTAN,9,40.723588,-73.97767
QUEENS,114,40.762535,-73.93334
MANHATTAN,1,40.724828,-73.998967
MANHATTAN,18,40.761103,-73.977445
BROOKLYN,75,40.651821,-73.881429
QUEENS,112,40.728169,-73.858349
STATEN ISLAND,120,40.625612,-74.128986
BRONX,40,40.807916,-73.919011
BROOKLYN,83,40.70267548,-73.93395238
MANHATTAN,32,40.814448,-73.940614
BROOKLYN,61,40.589347,-73.951695
QUEENS,105,40.717954,-73.754878
BROOKLYN,71,40.669034,-73.935274
BROOKLYN,67,40.658158,-73.918181
MANHATTAN,30,40.823462,-73.943385
MANHATTAN,9,40.72634,-73.995453
BROOKLYN,70,40.647439,-73.958789
QUEENS,106,40.678649,-73.860309
MANHATTAN,18,40.76052466,-73.97997322
BROOKLYN,76,40.686751,-74.001875
MANHATTAN,33,40.83719396,-73.93669188
QUEENS,115,40.758777,-73.862992
BROOKLYN,67,40.646724,-73.953405
BRONX,47,40.885961,-73.848135
QUEENS,101,40.595024,-73.785406
BRONX,50,40.880352,-73.904325
BRONX,44,40.843122,-73.905912
