prem_typ_desc
RESIDENCE - APT. HOUSE
STREET
FOOD SUPERMARKET
HOMELESS SHELTER
RESIDENCE - PUBLIC HOUSING
RESTAURANT/DINER
TRANSIT FACILITY (OTHER)
RESIDENCE-HOUSE
TRANSIT - NYC SUBWAY
LIQUOR STORE
OPEN AREAS (OPEN LOTS)
PARKING LOT/GARAGE (PRIVATE)
DEPARTMENT STORE
FAST FOOD
MULTI DWELL - PUBLIC HOUS
MARINA/PIER
BUS (OTHER)
COMMERCIAL BUILDING
STORAGE FACILITY
CHAIN STORE
PARKING LOT/GARAGE (PUBLIC)
GAS STATION
OTHER
MOBILE FOOD
CLOTHING/BOUTIQUE
BANK
GROCERY/BODEGA
HOTEL/MOTEL
(null)
CONSTRUCTION SITE
DRUG STORE
BAR/NIGHT CLUB
BUS STOP
BUS (NYC TRANSIT)
STORE UNCLASSIFIED
TAXI (LIVERY LICENSED)
COLLEGE/UNIVERSITY
MAILBOX OUTSIDE
BRIDGE
DOCTOR/DENTIST OFFICE
TELECOMM. STORE
AIRPORT TERMINAL
HOSPITAL
CHURCH
TUNNEL
PARK/PLAYGROUND
PUBLIC BUILDING
HIGHWAY/PARKWAY
SMOKE SHOP
DAYCARE FACILITY
GYM/FITNESS FACILITY
PUBLIC SCHOOL
DRY CLEANER/LAUNDRY
VARIETY STORE
PRIVATE/PAROCHIAL SCHOOL
JEWELRY
BUS TERMINAL
FACTORY/WAREHOUSE
ATM
BEAUTY & NAIL SALON
MULTI DWELL - APT BUILD
MAILBOX INSIDE
REAL ESTATE
SMALL MERCHANT
CANDY STORE
SYNAGOGUE
CHECK CASHING BUSINESS
CEMETERY
TAXI (YELLOW LICENSED)
BOOK/CARD
SHOE
MOSQUE
